English,Swahili Translations,Swahili Confidences,Luo Translations,Luo Confidences
"We have worked on guidelines to transition our learners from Grade 9 to Grade 10. Starting May 20, we are going to have our learners begin their choices for senior schools","Tumefanya kazi juu ya miongozo ya kuhamisha wanafunzi wetu kutoka darasa la 9 hadi darasa la 10. Kuanzia Mei 20, tutawafanya wanafunzi wetu kuanza uchaguzi wao wa shule za sekondari",0.664206767,"Wasebedo ka watiyo gi chike ma tayowa mondo wapuonjre e klas mar 9 nyaka 10. Chakre Mei 20, wabiro miyo jopuonjrewa thuolo mar yiero skul ma ne gidhi dhiye e sekondar.",0.462591159
"Starting this year, and following extensive stakeholder consultations, I wish to announce that KNEC will introduce a mid-year series of the KCSE examination, to be administered in July every year","Kuanzia mwaka huu, na baada ya mashauriano ya kina ya mashirika ya mashirika, nataka kutangaza kwamba KNEC itaanzisha mfululizo wa katikati ya mwaka wa mtihani wa KCSE, ambao utafanywa Julai kila mwaka",0.636826882,"Chakre higani, kendo bang' wuoyo matut gi riwruoge mag riwruoge, daher lando ni KNEC biro chako chenro mar penj mar KCSE e dwe mar Julai higa ka higa",0.566835471
The Government has not re-introduced cut-off points for admission to university. The minimum admission requirement to university is the Mean Grade of C+ (plus),Serikali haijaanzisha tena vituo vya kukataliwa kwa ajili ya kuingia chuo kikuu.,0.556449525,Sirkal ok ochak chungo kuonde ma ji ok nyal donjoe e yunivasiti.,0.443874858
"The Teachers Service Commission (TSC) will next week advertise a fresh round of recruitment of 20,000 teachers on contract for junior schools","Tume ya Huduma ya Walimu (TSC) itachapisha wiki ijayo raundi mpya ya kuajiri walimu 20,000 kwa mikataba kwa shule za msingi",0.662241446,"TSC biro goyo twak e juma mabiro mar tich manyien mar kwayo jopuonj 20,000 mondo oti gi gige tich e skul mag sekondari",0.289410817
"TSC has also agreed to convert all the 26,000 intern teachers recruited in 2023 to permanent and pensionable terms in January 2025","TSC pia imekubali kugeuza walimu wote 26,000 wa ushirika wa kazi waliojitolea mnamo 2023 kuwa wa kudumu na wenye malipo ya pensheni mnamo Januari 2025",0.565354529,"TSC bende oseyie loko jopuonj 26,000 duto ma ne ochiwore e higa mar 2023 obed jopuonj mosiko kendo ma yudo yuto mar yuto e dwe mar Januar 2025",0.467697385
The planet-friendly approach to school feeding will be at the heart of the scale up and focus of the coalition,Maoni ya mazingira ya chakula cha shule yatakuwa msingi wa kupanua na kuelekeza lengo la muungano,0.345269356,Paro ma ji nigo e wi chiemo ma yudore e skunde biro konyo e miyo winjruok obed motegno,0.354112801
The government has disbursed Sh22.03 billion as capitation for Term 2 of the 2025 academic year,Serikali imetoa Sh22.03 bilioni kama mtaji wa muda wa pili wa mwaka wa masomo wa 2025,0.602389049,Sirkal osechiwo Sh22.03 bilion mar dola mar piny mangima kaka pesa mar somo mar higa mar 2025,0.419359963
[Partnership Agreement] Ksh 1.7 billion Intergovernmental Partnership Agreement between Ministry of Education and Nairobi County for school feeding program,[Mkataba wa Ushirikiano] Ksh bilioni 1.7 Mkataba wa Ushirikiano wa Serikali Kati ya Wizara ya Elimu na Kaunti ya Nairobi kwa ajili ya programu ya kulisha shule,0.782465323,[Kondiko mar Riwruok] Ksh 1.7 bilion Singruok mar Riwruok mar Piny e kind Ministry of Education kod Nairobi County kuom chenro mar chiwo chiemo ne skul,0.514082154
"[4Ts Initiative] Track, Trace, Talk, and reTurn programme launched for school re-entry of vulnerable children, especially girls affected by pregnancy","[4Ts Initiative] Programu ya kufuatilia, kufuatilia, kuzungumza, na kurudi ilizinduliwa kwa ajili ya kuingia tena shuleni kwa watoto walioathiriwa, hasa wasichana walioathiriwa na ujauzito",0.733356933,"Ne ochak chenro mar rito, rito, wuoyo, kendo duogo e skul ne nyithindo ma ne oyudo masira mar midekre, to moloyo nyiri ma ne oyudo masira mar ich",0.419609098
[KUCCPS Portal] KUCCPS portal will open in March 2025 for university placement and course selection for 2024 KCSE candidates,[Ukurasa wa KUCCPS] Ukurasa wa KUCCPS utafunguliwa mnamo Machi 2025 kwa ajili ya nafasi za chuo kikuu na uteuzi wa kozi kwa wagombea wa 2024 wa KCSE,0.737607261,[KUCCCPS Page] Kot mar KUCCPS ibiro yaw e dwe mar Mach 2025 ne jobura mag yunivasiti kod yiero mag tiegruok ne jogo mabiro dhi e KCSE mar 2024,0.452160579
"[TSC Recruitment] Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024","[Kujitolea kwa TSC] Tangazo la nafasi za kufundisha 46,000 katika shule za msingi, za sekondari na za sekondari na tarehe ya mwisho ya maombi Oktoba 7, 2024",0.660986234,"[TSC ochiwore] Oganda mar Joneno mag Jehova lando ni gibiro chiwo thuolo mar puonjo ji 46,000 e skul mag sekondari kod sekondari, kendo ni gibiro yudo thuolo mar kwayo mondo oti e skundno tarik 7 Oktoba, 2024",0.384662942
"[Exam Results] 2024 KCSE results announced with 246,391 candidates achieving university entry grade C+ and above out of 965,501 total candidates","[Matokeo ya mitihani] Matokeo ya 2024 ya KCSE yametangazwa na wagombea 246,391 ambao wamepata alama ya kuingia chuo kikuu C+ na zaidi kutoka kwa wagombea 965,501 wa jumla",0.680074675,"[Misale mag penj] Jogo ma biro yudo nyak mar KCSE mar 2024 kwan - gi romo 246,391 kendo gin joma osedhi e yunivasiti mar C+ kod mokalo kanyo kuom jogo duto ma biro yudo nyak mar KCSE mar 965,501",0.421977658
[School Feeding Scale-up] Target to increase school feeding beneficiaries from 1.9 million to over 10 million children by 2030,[Kuongeza kiwango cha chakula cha shule] Lengo la kuongeza wafadhili wa chakula cha shule kutoka milioni 1.9 hadi zaidi ya watoto milioni 10 ifikapo 2030,0.667347096,"[Keto chiemo e skul] Chenro mar medo chiwo chiemo e skul, kochakore milion 1.9 nyaka nyithindo mokalo milion 10 e higa mar 2030",0.442352828
[Free Education] Government reinforcement of free primary education policy with elimination of all levies and charges in public schools,[Elimu ya bure] Serikali kuimarisha sera ya elimu ya msingi ya bure kwa kuondoa ushuru wote na ada katika shule za umma,0.716561572,[Pwony ma onge chudo] Sirkal jiwo chenro mar somo ma onge chudo kuom golo osuru kod chudo duto e skul mag sirkal,0.580222455
Education  CS Ezekiel Machogu says govt will no longer fund public universities and colleges urges them to generate  their own-sourced revenue to fund their operation,Elimu CS Ezekiel Machogu anasema serikali haitawafadhili tena vyuo vikuu na vyuo vikuu vya umma anawahimiza wazalishe mapato yao wenyewe ili kufadhili shughuli zao,0.547857852,Sirkal mar somo mar CS Ezekiel Machogu wacho ni sirkal ok bi chulo pesa ne yunivasiti kod yunivasiti mag sirkal.,0.482415632
"The Auditor General is raising the alarm over the de-funding of education in Kenya. Nancy Gathungu says it threatens the future of Kenya's human capital. More than 163,000 students have been left without loans.","Mkurugenzi Mkuu wa Uchunguzi wa Elimu wa Kenya anaonya kuhusu kufutwa fedha za elimu nchini Kenya. Nancy Gathungu anasema kwamba hiyo inatishia maisha ya baadaye ya Kenya. Wanafunzi zaidi ya 163,000 wamelazimika kukosa mikopo.",0.461721264,"Jatend Kenya mar National Education Survey, Nancy Gathungu, chiwo siem kuom wach golo pesa e somo e piny Kenya, kowacho ni mano nyalo miyo ngima Kenya obed matek.",0.365706126
"George Magoha, CS, Education: All children will have a place in secondary school. By 2nd Dec, every child who sat KCPE 2019 will know what school they will join. Ksh. 8 Billion has been put to improve infrastructure in high school and primary school","George Magoha, CS, Elimu: Watoto wote watakuwa na nafasi katika shule ya sekondari. Kufikia Desemba 2, kila mtoto aliyehudhuria KCPE 2019 atajua ni shule gani atakayojiunga nayo. Ksh. Bilioni 8 zimewekwa kuboresha miundombinu katika shule za upili na za msingi",0.746070053,"George Magoha, CS, Education: Nyithindo duto biro yudo kargi e skul sekondar. E dwe mar Desemba 2, nyathi ka nyathi ma osedhi e KCPE 2019 biro ng'eyo skul ma obiro donjoe. Ksh. bilion 8 oseketi mondo omed tiego chenro mag skul e skul sekondar kod sekondar",0.537746381
