PSA_ID,Sub_Category,Title,PSAs Description,Source,Date,Format,Topic,Original_Language,URL,Translation_Swahili,Translation_Luo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Access to Education,Senior school selection process,"We have worked on guidelines to transition our learners from Grade 9 to Grade 10. Starting May 20, we are going to have our learners begin their choices for senior schools",Press conference,24/04/2025,Text,Education,English,https://www.kenyans.co.ke/news/111409-grade-9-senior-school-selection-kenya-begin-may-26-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Access to Education,Mid-year KCSE examinations,"Starting this year, and following extensive stakeholder consultations, I wish to announce that KNEC will introduce a mid-year series of the KCSE examination, to be administered in July every year",Official announcement,09/01/2025,Text,Education,English,https://www.the-star.co.ke/news/realtime/2025-01-09-knec-introduces-july-kcse-exam-for-repeaters-sick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Access to Education,University admission policy,The Government has not re-introduced cut-off points for admission to university. The minimum admission requirement to university is the Mean Grade of C+ (plus),Policy clarification,28/02/2025,Text,Education,English,https://www.capitalfm.co.ke/news/2024/12/ministry-of-education-dismisses-claims-of-changes-to-university-entry-requirements/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Access to Education,Teacher recruitment drive,"The Teachers Service Commission (TSC) will next week advertise a fresh round of recruitment of 20,000 teachers on contract for junior schools",Recruitment announcement,30/09/2024,Text,Education,English,https://nation.africa/kenya/news/education/tsc-to-advertise-20-000-new-jss-jobs-next-week-4802420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Access to Education,Teacher career progression,"TSC has also agreed to convert all the 26,000 intern teachers recruited in 2023 to permanent and pensionable terms in January 2025",Official announcement,30/11/2024,Text,Education,English,https://cbc.co.ke/tsc-postpones-recruitment-of-20000-intern-teachers-to-2025/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Access to Education,National School Meals Coalition,The planet-friendly approach to school feeding will be at the heart of the scale up and focus of the coalition,Program launch,08/10/2024,Text,Education,English,https://www.rockefellerfoundation.org/news/ministry-of-education-launches-national-school-meals-coalition-the-kenya-chapter/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Access to Education,Education funding disbursement,The government has disbursed Sh22.03 billion as capitation for Term 2 of the 2025 academic year,Financial announcement,21/05/2025,Text,Education,English,https://www.capitalfm.co.ke/news/2025/05/moe-releases-sh22bn-capitation-funding-for-basic-education/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Access to Education,School feeding partnership,[Partnership Agreement] Ksh 1.7 billion Intergovernmental Partnership Agreement between Ministry of Education and Nairobi County for school feeding program,Partnership announcement,28/08/2023,Text,Education,English,https://www.rockefellerfoundation.org/news/ministry-of-education-launches-national-school-meals-coalition-the-kenya-chapter/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Access to Education,Student re-entry support,"[4Ts Initiative] Track, Trace, Talk, and reTurn programme launched for school re-entry of vulnerable children, especially girls affected by pregnancy",Program launch,01/12/2020,Text,Education,English,https://reliafrica.org/re-opening-in-the-time-of-covid-19-in-kenya/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Access to Education,University placement process,[KUCCPS Portal] KUCCPS portal will open in March 2025 for university placement and course selection for 2024 KCSE candidates,System announcement,15/02/2025,Text,Education,English,https://thekenyatimes.com/breaking-news/cs-ogamba-reveals-when-kuccps-portal-will-open/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
